ID,NAME,LAT,LONG,STATE,POPULATION,OCEAN
325,Saint Matthews,-85.65579,38.25285,KY,17472,False
1039,Brighton,-104.82053,39.98526,CO,37585,False
1037,Gilroy,-121.56828,37.00578,CA,53231,False
289,Vicksburg,-90.87788,32.35265,MS,23131,False
316,Chowchilla,-120.26018,37.123,CA,18720,False
281,Hazelwood,-90.37095,38.77144,MO,25703,False
301,North Augusta,-81.96512,33.5018,SC,21348,False
286,Lafayette,-105.08971,39.9936,CO,27729,False
299,Clarksville,-85.75996,38.29674,IN,21724,False
297,Derby,-97.26893,37.54557,KS,22158,False
324,Bay City,-95.9694,28.98276,TX,17598,False
288,Ridgeland,-90.13231,32.42848,MS,24047,False
292,Morton Grove,-87.78256,42.04059,IL,23270,False
754,Lebanon South,-76.40644,40.32804,PA,2270,False
280,Batavia,-88.31257,41.85003,IL,26045,False
283,Fort Dodge,-94.16802,42.49747,IA,25206,False
317,Glassboro,-75.11184,39.70289,NJ,18579,False
290,Ramsey,-93.45,45.2611,MN,23668,False
320,Simpsonville,-82.25428,34.73706,SC,18238,False
309,Greenfield,-72.59953,42.58759,MA,19753,False
1034,South Lake Tahoe,-119.98435,38.93324,CA,21706,False
312,Alsip,-87.73866,41.66892,IL,19277,False
1036,East Chicago,-87.45476,41.6392,IN,28699,False
1043,Big Stone Gap,-82.7471,36.88176,VA,5614,False
54,Minneapolis,-93.26384,44.97997,MN,410939,False
30,Denver,-104.9847,39.73915,CO,682545,False
1048,McAllen,-98.23001,26.20341,TX,140269,False
273,Nicholasville,-84.573,37.88063,KY,28015,False
434,Highland Park,-96.79195,32.83346,TX,8564,False
367,College,-147.80278,64.85694,AK,12964,False
1049,Ada County,-116.24109,43.45112,ID,392365,False
337,Madison,-74.4171,40.75982,NJ,15845,False
349,Jacksonville,-95.2705,31.96378,TX,14544,False
330,Horizon City,-106.20748,31.69261,TX,16735,False
25,New South Memphis,-90.05676,35.08676,TN,641608,False
328,Broad Ripple,-86.14165,39.86671,IN,17041,False
1044,Natchez,-91.40317,31.56044,MS,15128,False
366,Lockhart,-81.44257,28.61944,FL,13060,False
357,Fort Carson,-104.78886,38.73749,CO,13813,False
1050,New Kent County,-76.99713,37.50514,VA,18429,False
418,Valencia West,-111.11414,32.13238,AZ,9355,False
46,Atlanta,-84.38798,33.749,GA,463878,False
374,Lake Los Angeles,-117.82812,34.61249,CA,12328,False
595,Caldwell,-96.69303,30.53132,TX,4104,False
350,Lindenhurst,-88.02619,42.41058,IL,14462,False
342,Mitchell,-98.0298,43.70943,SD,15254,False
38,Tucson,-110.92648,32.22174,AZ,520116,False
364,Carriere,-89.65256,30.61686,MS,13198,False
1046,Manchester,-71.45479,42.99564,NH,110229,False
351,Pottsville,-76.1955,40.68565,PA,14324,False
393,Seymour,-83.72462,35.89064,TN,10919,False
334,Dublin,-82.90375,32.54044,GA,16201,False
332,Frankfort,-86.51084,40.27948,IN,16422,False
380,Schiller Park,-87.8709,41.95586,IL,11793,False
378,Maryville,-94.87247,40.3461,MO,11972,False
340,Sulphur Springs,-95.60107,33.13845,TX,15449,False
360,Berea,-84.29632,37.56869,KY,14882,False
352,Gantt,-82.42429,34.80012,SC,14229,False
346,Deming,-107.75864,32.2687,NM,14855,False
373,Four Corners,-95.65772,29.66857,TX,12382,False
424,Lake Lucerne,-80.24144,25.96509,FL,9044,False
1045,Bowling Green,-86.4436,36.99032,KY,63616,False
331,Easthampton,-72.66898,42.26676,MA,16611,False
377,Freehold,-74.27376,40.26011,NJ,12052,False
348,Waycross,-82.3557,31.21368,GA,14649,False
359,Beach Park,-87.8573,42.42224,IL,13638,False
356,Collingswood,-75.07128,39.91817,NJ,13926,False
368,Glendale,-87.93564,43.13529,WI,12872,False
423,Tomah,-90.50402,43.97858,WI,9093,False
1058,Helotes,-98.68975,29.57801,TX,8591,False
294,Lincolnia,-77.14331,38.81845,VA,22855,False
429,Brandon,-96.57199,43.5947,SD,8785,False
389,Shiloh,-78.2914,41.04172,PA,11217,False
405,Guthrie,-97.42532,35.87894,OK,10191,False
384,Powell,-83.07519,40.15784,OH,11500,False
413,Glenwood Springs,-107.32478,39.55054,CO,9614,False
1588,SeaTac,-122.29217,47.44846,WA,28215,True
394,Plano,-88.53702,41.66281,IL,10856,False
400,Robinson,-97.11472,31.46767,TX,10509,False
1057,Oneonta,-75.06377,42.45286,NY,13862,False
426,Eidson Road,-100.48702,28.6772,TX,8960,False
451,Downingtown,-75.70327,40.0065,PA,7891,False
388,Cusseta,-84.7727,32.30543,GA,11267,False
410,Brambleton,-77.5386,38.98205,VA,9845,False
406,Fort Knox,-85.96363,37.89113,KY,10124,False
1059,Schenectady,-73.93957,42.81424,NY,65305,False
383,Mountain Park,-84.12936,33.84427,GA,11554,False
401,Loganville,-83.90074,33.839,GA,10458,False
411,Minnehaha,-122.64871,45.65901,WA,9771,False
433,Richmond Heights,-90.31956,38.62866,MO,8481,False
382,El Campo,-96.26969,29.19664,TX,11602,False
473,Tamaqua,-75.96937,40.79731,PA,7107,False
395,La Riviera,-121.3569,38.56685,CA,10802,False
1056,Helena-West Helena,-90.59,34.5291,AR,11109,False
448,New Albany,-89.00784,34.49427,MS,8034,False
419,Bala-Cynwyd,-75.23407,40.00761,PA,9299,False
1053,Broken Arrow,-95.79082,36.0526,OK,106563,False
425,Frostburg,-78.92836,39.65814,MD,9002,False
1060,Wake County,-78.65022,35.79012,NC,900993,False
432,Lenoir City,-84.25603,35.7973,TN,8642,False
386,Mebane,-79.26696,36.09597,NC,11393,False
422,Newark,-77.09525,43.04673,NY,9145,False
428,Avon Park,-81.50619,27.59587,FL,8836,False
456,Winsted,-73.06011,41.92121,CT,7712,False
475,Lexington,-79.44282,37.78402,VA,7042,False
430,Napoleon,-84.12522,41.39227,OH,8749,False
392,Lyndon,-85.60163,38.25674,KY,11002,False
396,Middlesboro,-83.71658,36.60842,KY,10730,False
390,Brooklyn,-81.73541,41.43977,OH,10899,False
407,Canyon Rim,-111.82188,40.70661,UT,10062,False
416,Craig,-107.54645,40.51525,CO,9464,False
427,Middletown,-76.73108,40.19981,PA,8901,False
417,Hamburg,-78.82948,42.71589,NY,9409,False
409,London,-83.44825,39.88645,OH,9904,False
412,Columbia,-90.20122,38.44366,IL,9707,False
421,Heber City,-111.41324,40.5069,UT,9198,False
455,Pittston,-75.78936,41.32591,PA,7739,False
1065,Johnson County,-91.58808,41.67155,IA,130882,False
1063,Michigan City,-86.89503,41.70754,IN,31459,False
1072,Allentown,-75.49018,40.60843,PA,120207,False
468,Dry Run,-84.33049,39.10423,OH,7281,False
435,Temperance,-83.56882,41.77921,MI,8517,False
486,North Riverside,-87.82311,41.84281,IL,6672,False
485,Wedgefield,-81.07729,28.48778,FL,6705,False
533,Livingston,-94.93299,30.71103,TX,5335,False
505,Talent,-122.78865,42.24568,OR,6066,False
478,New Square,-74.02942,41.13956,NY,6944,False
502,Eudora,-95.09858,38.94334,KS,6136,False
489,Columbia,-89.83758,31.25184,MS,6582,False
